listing_id,brand,category,gender,gender_source,material,size,condition,age_months,original_price,provider_price
L0340,Mufti,Shirt,Unisex,category_derived,Cotton,L,Like New,5,5300,400
L0341,Fabindia,Kurta,Unisex,category_derived,Linen,M,New,2,8500,1000
L0342,Zara,Dress,Women,category_derived,Linen,S,Like New,6,9200,900
L0343,Nike,Activewear,Unisex,category_derived,Polyester,M,Used,10,10000,600
L0344,Tommy Hilfiger,Shirt,Unisex,category_derived,Cotton,L,Like New,4,9800,1000
L0345,Diesel,Jeans,Unisex,category_derived,Denim,M,New,2,11500,1400
L0346,Raw Mango,Saree,Women,category_derived,Silk,S,Like New,6,22000,2500
L0347,Anita Dongre,Lehenga,Women,category_derived,Silk,M,Used,12,24000,2000
L0348,Sabyasachi,Saree,Women,category_derived,Silk,L,New,2,28000,4200
L0349,Gucci,Jacket,Unisex,category_derived,Leather,M,Like New,5,32000,6000
L0350,Prada,Dress,Women,category_derived,Silk,S,Used,9,30000,2500
L0351,Easybuy,Shirt,Unisex,category_derived,Cotton,M,Like New,6,1400,90
L0352,Vishal Mega Mart,Top,Women,category_derived,Polyester,S,Used,10,1500,60
L0353,Rangriti,Kurta,Unisex,category_derived,Cotton,L,New,2,1800,130
L0354,Style Bazaar,Top,Women,category_derived,Cotton,M,Like New,5,1200,80
L0355,Zudio,Jeans,Unisex,category_derived,Denim,S,Used,9,1300,50
L0356,Soch,Saree,Women,category_derived,Silk,M,Like New,4,4000,350
L0357,Aurelia,Kurta,Unisex,category_derived,Cotton,L,New,3,3200,300
L0358,Libas,Dress,Women,category_derived,Linen,S,Used,11,3500,200
L0359,Max Fashion,Jeans,Unisex,category_derived,Denim,M,Like New,6,2800,200
L0360,Reliance Trends,Shirt,Unisex,category_derived,Cotton,XL,New,1,3000,300
L0361,Pantaloons,Top,Women,category_derived,Cotton,S,Like New,5,4500,350
L0362,Roadster,Jeans,Unisex,category_derived,Denim,M,Used,8,4800,250
L0363,HRX,Activewear,Unisex,category_derived,Polyester,L,New,2,5500,550
L0364,Flying Machine,Jeans,Unisex,category_derived,Denim,M,Like New,6,5200,350
L0365,Mufti,Shirt,Unisex,category_derived,Cotton,S,Used,10,5600,300
L0366,Fabindia,Kurta,Unisex,category_derived,Linen,M,Like New,5,9000,900
L0367,Zara,Dress,Women,category_derived,Linen,S,New,2,10000,1200
L0368,Adidas,Jacket,Unisex,category_derived,Polyester,L,Like New,6,11500,1000
L0369,Tommy Hilfiger,Shirt,Unisex,category_derived,Cotton,M,Used,9,10500,700
L0370,Calvin Klein,Jacket,Unisex,category_derived,Leather,L,New,3,13000,2000
L0371,Raw Mango,Saree,Women,category_derived,Silk,L,New,2,24000,3600
L0372,Anita Dongre,Lehenga,Women,category_derived,Silk,M,Like New,6,26000,3000
L0373,Tarun Tahiliani,Lehenga,Women,category_derived,Silk,S,Used,12,29000,2000
L0374,Louis Vuitton,Jacket,Unisex,category_derived,Leather,M,New,1,35000,5200
L0375,Burberry,Jacket,Unisex,category_derived,Cotton,L,Like New,5,27000,3000
