listing_id,source_listing_id,data_source,brand,category,material,size,condition,condition_token,age_months,age_bin_token,older_listing_flag,listing_lifecycle_action,age_policy_override_applied,original_price,provider_price,tier_primary,deviation_M,condition_penalty,age_penalty,deviation_penalty,total_penalty,final_quality_score_0_100,final_listing_decision,decision_label,effective_listing_decision,effective_decision_label,final_reviewer_note
L0127,L0127,manual,Aurelia,Ethnic Wear,Cotton,S,Like New,2,2,1,0,active_current_cycle,0,699,60,Tier 1,50.0,8,0,30,38,62,Review,1,Review,1,Condition penalty -8; Price deviation penalty -30
L0128,L0128,manual,Libas,Kurta,Cotton,S,New,1,4,2,0,active_current_cycle,0,899,65,Tier 1,30.0,0,4,20,24,76,Review,1,Review,1,Age penalty -4; Price deviation penalty -20
L0129,L0129,manual,Max Fashion,Jeans,Denim,M,Used,3,5,2,0,active_current_cycle,0,799,40,Tier 1,33.3333,18,4,20,42,58,Review,1,Review,1,Condition penalty -18; Age penalty -4; Price deviation penalty -20
L0130,L0130,manual,Reliance Trends,Shirt,Cotton,L,New,1,3,1,0,active_current_cycle,0,499,40,Tier 1,33.3333,0,0,20,20,80,Review,1,Review,1,Price deviation penalty -20
L0131,L0131,manual,Fabindia,Kurta,Cotton,M,Used,3,7,3,0,active_current_cycle,0,2999,200,Tier 3,33.3333,18,8,20,46,54,Review,1,Review,1,Condition penalty -18; Age penalty -8; Price deviation penalty -20
L0132,L0132,manual,Suta,Saree,Linen,M,Like New,2,6,2,0,active_current_cycle,0,3499,320,Tier 3,6.6667,8,4,5,17,83,Approve,0,Approve,0,Condition penalty -8; Age penalty -4; Price deviation penalty -5
L0133,L0133,manual,H&M,Dress,Cotton,S,Like New,2,6,2,0,active_current_cycle,0,1499,120,Tier 2,33.3333,8,4,20,32,68,Review,1,Review,1,Condition penalty -8; Age penalty -4; Price deviation penalty -20
L0134,L0134,manual,Levi's,Jeans,Denim,M,New,1,2,1,0,active_current_cycle,0,3999,480,Tier 3,37.1429,0,0,30,30,70,Review,1,Review,1,Price deviation penalty -30
L0135,L0135,manual,Zara,Jacket,Denim,M,Used,3,8,3,0,active_current_cycle,0,4999,350,Tier 3,40.0,18,8,30,56,44,Review,1,Review,1,Condition penalty -18; Age penalty -8; Price deviation penalty -30
L0136,L0136,manual,Uniqlo,Jacket,Polyester,M,Like New,2,5,2,0,active_current_cycle,0,1999,170,Tier 2,41.6667,8,4,30,42,58,Review,1,Review,1,Condition penalty -8; Age penalty -4; Price deviation penalty -30
L0137,L0137,manual,Forever 21,Dress,Polyester,S,New,1,2,1,0,active_current_cycle,0,1299,140,Tier 2,40.0,0,0,30,30,70,Review,1,Review,1,Price deviation penalty -30
L0138,L0138,manual,GAP,Jeans,Denim,M,Used,3,10,4,1,needs_reapproval_or_removal,0,3999,260,Tier 3,36.8421,18,12,30,60,40,Review,1,Review,1,Condition penalty -18; Age penalty -12; Price deviation penalty -30
L0139,L0139,manual,FBB,Ethnic Wear,Cotton,L,New,1,4,2,0,active_current_cycle,0,699,60,Tier 1,50.0,0,4,30,34,66,Review,1,Review,1,Age penalty -4; Price deviation penalty -30
L0140,L0140,manual,Prada,Dress,Silk,S,Like New,2,6,2,0,active_current_cycle,0,85999,9800,Tier 5,0.0,8,4,0,12,88,Approve,0,Approve,0,Condition penalty -8; Age penalty -4
L0141,L0141,manual,Highlander,Top,Cotton,XL,Like New,2,2,1,0,active_current_cycle,0,599,45,Tier 1,50.0,8,0,30,38,62,Review,1,Review,1,Condition penalty -8; Price deviation penalty -30
L0142,L0142,manual,Louis Vuitton,Shirt,Linen,XS,Like New,2,5,2,0,active_current_cycle,0,70499,8800,Tier 5,7.3171,8,4,5,17,83,Approve,0,Approve,0,Condition penalty -8; Age penalty -4; Price deviation penalty -5
L0143,L0143,manual,Prada,Dress,Silk,M,Like New,2,8,3,0,active_current_cycle,0,75499,8900,Tier 5,5.9524,8,8,5,21,79,Approve,0,Approve,0,Condition penalty -8; Age penalty -8; Price deviation penalty -5
L0144,L0144,manual,Soch,Ethnic Wear,Silk,S,Like New,2,4,2,0,active_current_cycle,0,1499,160,Tier 2,60.0,8,4,45,57,43,Review,1,Review,1,Condition penalty -8; Age penalty -4; Price deviation penalty -45
L0145,L0145,manual,Suta,Saree,Silk,M,New,1,1,1,0,active_current_cycle,0,2999,415,Tier 3,38.3333,0,0,30,30,70,Review,1,Review,1,Price deviation penalty -30
L0146,L0146,manual,Nalli,Saree,Silk,M,Like New,2,3,1,0,active_current_cycle,0,6999,875,Tier 4,9.375,8,0,5,13,87,Approve,0,Approve,0,Condition penalty -8; Price deviation penalty -5
L0147,L0147,manual,Neeru's,Lehenga,Silk,L,Like New,2,7,3,0,active_current_cycle,0,14999,1500,Tier 4,7.1429,8,8,5,21,79,Approve,0,Approve,0,Condition penalty -8; Age penalty -8; Price deviation penalty -5
L0148,L0148,manual,Meena Bazaar,Lehenga,Silk,S,New,1,4,2,0,active_current_cycle,0,12999,1620,Tier 4,8.0,0,4,5,9,91,Approve,0,Approve,0,Age penalty -4; Price deviation penalty -5
L0149,L0149,manual,Rangriti,Kurta,Cotton,M,New,1,2,1,0,active_current_cycle,0,999,70,Tier 1,16.6667,0,0,12,12,88,Approve,0,Approve,0,Price deviation penalty -12
L0150,L0150,manual,Vishal Mega Mart,Kurta,Cotton,L,Like New,2,5,2,0,active_current_cycle,0,799,50,Tier 1,25.0,8,4,20,32,68,Review,1,Review,1,Condition penalty -8; Age penalty -4; Price deviation penalty -20
L0151,L0151,manual,Style Bazaar,Shirt,Cotton,XL,Used,3,7,3,0,active_current_cycle,0,499,30,Tier 1,50.0,18,8,30,56,44,Review,1,Review,1,Condition penalty -18; Age penalty -8; Price deviation penalty -30
L0152,L0152,manual,American Eagle,Jeans,Denim,L,Like New,2,4,2,0,active_current_cycle,0,4999,450,Tier 3,28.5714,8,4,20,32,68,Review,1,Review,1,Condition penalty -8; Age penalty -4; Price deviation penalty -20
L0153,L0153,manual,Sabyasachi,Lehenga,Silk,M,Like New,2,4,2,0,active_current_cycle,0,89999,14000,Tier 5,18.6441,8,4,12,24,76,Approve,0,Approve,0,Condition penalty -8; Age penalty -4; Price deviation penalty -12
L0154,L0154,manual,Manish Malhotra,Lehenga,Silk,M,Used,3,8,3,0,active_current_cycle,0,79999,9000,Tier 5,25.0,18,8,20,46,54,Review,1,Review,1,Condition penalty -18; Age penalty -8; Price deviation penalty -20
L0155,L0155,manual,Uniqlo,Jacket,Denim,XS,Like New,2,5,2,0,active_current_cycle,0,1499,130,Tier 2,44.4444,8,4,30,42,58,Review,1,Review,1,Condition penalty -8; Age penalty -4; Price deviation penalty -30
L0156,L0156,manual,Forever 21,Dress,Cotton,M,Like New,2,6,2,0,active_current_cycle,0,1299,110,Tier 2,37.5,8,4,30,42,58,Review,1,Review,1,Condition penalty -8; Age penalty -4; Price deviation penalty -30
L0157,L0157,manual,Manyavar,Ethnic Wear,Silk,XL,Like New,2,2,1,0,active_current_cycle,0,5499,690,Tier 4,6.1538,8,0,5,13,87,Approve,0,Approve,0,Condition penalty -8; Price deviation penalty -5
L0158,L0158,manual,Fabindia,Ethnic Wear,Silk,XS,Used,3,8,3,0,active_current_cycle,0,2199,175,Tier 2,75.0,18,8,45,71,29,Reject,2,Reject,2,Condition penalty -18; Age penalty -8; Price deviation penalty -45
L0159,L0159,manual,Tommy Hilfiger,Shirt,Cotton,L,Like New,2,6,2,0,active_current_cycle,0,5999,600,Tier 4,9.0909,8,4,5,17,83,Approve,0,Approve,0,Condition penalty -8; Age penalty -4; Price deviation penalty -5
L0160,L0160,manual,Calvin Klein,Jacket,Denim,M,Used,3,9,3,0,active_current_cycle,0,7999,550,Tier 4,10.0,18,8,5,31,69,Review,1,Review,1,Condition penalty -18; Age penalty -8; Price deviation penalty -5
L0161,L0161,manual,Aurelia,Kurta,Cotton,S,Used,3,8,3,0,active_current_cycle,0,999,60,Tier 1,100.0,18,8,45,71,29,Reject,2,Reject,2,Condition penalty -18; Age penalty -8; Price deviation penalty -45
L0162,L0162,manual,Biba,Kurta,Cotton,M,Like New,2,5,2,0,active_current_cycle,0,1499,120,Tier 2,50.0,8,4,30,42,58,Review,1,Review,1,Condition penalty -8; Age penalty -4; Price deviation penalty -30
L0163,L0163,manual,UCB,Shirt,Cotton,S,Like New,2,5,2,0,active_current_cycle,0,3499,300,Tier 3,20.0,8,4,12,24,76,Approve,0,Approve,0,Condition penalty -8; Age penalty -4; Price deviation penalty -12
L0164,L0164,manual,Global Desi,Saree,Silk,S,Like New,2,6,2,0,active_current_cycle,0,2499,270,Tier 2,68.75,8,4,45,57,43,Reject,2,Reject,2,Condition penalty -8; Age penalty -4; Price deviation penalty -45
L0165,L0165,manual,Anouk,Saree,Silk,M,New,1,3,1,0,active_current_cycle,0,1999,250,Tier 2,56.25,0,0,45,45,55,Review,1,Review,1,Price deviation penalty -45
L0166,L0166,manual,Indya,Jacket,Denim,M,Used,3,9,3,0,active_current_cycle,0,1499,100,Tier 2,66.6667,18,8,45,71,29,Reject,2,Reject,2,Condition penalty -18; Age penalty -8; Price deviation penalty -45
L0167,L0167,manual,Flying Machine,Jeans,Denim,L,Like New,2,4,2,0,active_current_cycle,0,1499,150,Tier 2,87.5,8,4,45,57,43,Reject,2,Reject,2,Condition penalty -8; Age penalty -4; Price deviation penalty -45
L0168,L0168,manual,Mufti,Shirt,Linen,M,Used,3,11,4,1,needs_reapproval_or_removal,0,3499,200,Tier 3,25.0,18,12,20,50,50,Review,1,Review,1,Condition penalty -18; Age penalty -12; Price deviation penalty -20
L0169,L0169,manual,Anouk,Saree,Cotton,M,Used,3,7,3,0,active_current_cycle,0,1399,90,Tier 2,50.0,18,8,30,56,44,Review,1,Review,1,Condition penalty -18; Age penalty -8; Price deviation penalty -30
L0170,L0170,manual,Indya,Jacket,Denim,S,Like New,2,5,2,0,active_current_cycle,0,1299,120,Tier 2,50.0,8,4,30,42,58,Review,1,Review,1,Condition penalty -8; Age penalty -4; Price deviation penalty -30
L0171,L0171,manual,Pantaloons,Jeans,Denim,L,Used,3,9,3,0,active_current_cycle,0,1099,60,Tier 1,50.0,18,8,30,56,44,Review,1,Review,1,Condition penalty -18; Age penalty -8; Price deviation penalty -30
L0172,L0172,manual,Roadster,Jeans,Denim,XL,New,1,2,1,0,active_current_cycle,0,1099,110,Tier 1,83.3333,0,0,45,45,55,Reject,2,Reject,2,Price deviation penalty -45
L0173,L0173,manual,Armani,Ethnic Wear,Polyester,L,New,1,2,1,0,active_current_cycle,0,85000,11000,Tier 5,0.0,0,0,0,0,100,Approve,0,Approve,0,Within expected quality and pricing tolerance
L0174,L0174,manual,Versace,Dress,Silk,M,Like New,2,5,2,0,active_current_cycle,0,110000,14000,Tier 5,1.4493,8,4,5,17,83,Approve,0,Approve,0,Condition penalty -8; Age penalty -4; Price deviation penalty -5
L0175,L0175,manual,Spykar,Shirt,Cotton,M,Like New,2,2,1,0,active_current_cycle,0,999,90,Tier 1,80.0,8,0,45,53,47,Reject,2,Reject,2,Condition penalty -8; Price deviation penalty -45
L0176,L0176,manual,Being Human,Top,Linen,S,New,1,8,3,0,active_current_cycle,0,999,85,Tier 1,70.0,0,8,45,53,47,Reject,2,Reject,2,Age penalty -8; Price deviation penalty -45
L0177,L0177,manual,Prada,Dress,Silk,S,Like New,2,4,2,0,active_current_cycle,0,95000,9000,Tier 5,3.2258,8,4,5,17,83,Approve,0,Approve,0,Condition penalty -8; Age penalty -4; Price deviation penalty -5
L0178,L0178,manual,Adidas,Activewear,Polyester,S,Like New,2,5,2,0,active_current_cycle,0,3499,330,Tier 3,32.0,8,4,20,32,68,Review,1,Review,1,Condition penalty -8; Age penalty -4; Price deviation penalty -20
L0179,L0179,manual,Puma,Activewear,Polyester,M,Used,3,7,3,0,active_current_cycle,0,2999,210,Tier 3,50.0,18,8,30,56,44,Review,1,Review,1,Condition penalty -18; Age penalty -8; Price deviation penalty -30
L0180,L0180,manual,Louis Vuitton,Jacket,Leather,M,Used,3,10,4,1,needs_reapproval_or_removal,0,150000,15000,Tier 5,15.3846,18,12,12,42,58,Review,1,Review,1,Condition penalty -18; Age penalty -12; Price deviation penalty -12
L0181,L0181,manual,Red Tape,Shirt,Linen,S,New,1,3,1,0,active_current_cycle,0,899,95,Tier 1,58.3333,0,0,45,45,55,Review,1,Review,1,Price deviation penalty -45
L0182,L0182,manual,H&M,Dress,Cotton,S,Used,3,9,3,0,active_current_cycle,0,1199,70,Tier 1,75.0,18,8,45,71,29,Reject,2,Reject,2,Condition penalty -18; Age penalty -8; Price deviation penalty -45
L0183,L0183,manual,Gucci,Jacket,Leather,M,Like New,2,6,2,0,active_current_cycle,0,120000,18000,Tier 5,20.0,8,4,12,24,76,Approve,0,Approve,0,Condition penalty -8; Age penalty -4; Price deviation penalty -12
L0184,L0184,manual,Bewakoof,Top,Polyester,S,Used,3,6,2,0,active_current_cycle,0,499,25,Tier 1,25.0,18,4,20,42,58,Review,1,Review,1,Condition penalty -18; Age penalty -4; Price deviation penalty -20
L0185,L0185,manual,Reebok,Activewear,Polyester,L,New,1,3,1,0,active_current_cycle,0,2799,300,Tier 3,20.0,0,0,12,12,88,Approve,0,Approve,0,Price deviation penalty -12
L0186,L0186,manual,Skechers,Activewear,Polyester,M,Like New,2,4,2,0,active_current_cycle,0,4999,480,Tier 3,37.1429,8,4,30,42,58,Review,1,Review,1,Condition penalty -8; Age penalty -4; Price deviation penalty -30
L0187,L0187,manual,Moda Rapido,Dress,Denim,S,New,1,1,1,0,active_current_cycle,0,899,80,Tier 1,33.3333,0,0,20,20,80,Review,1,Review,1,Price deviation penalty -20
L0188,L0188,manual,Biba,Kurta,Silk,M,Like New,2,4,2,0,active_current_cycle,0,999,85,Tier 1,70.0,8,4,45,57,43,Reject,2,Reject,2,Condition penalty -8; Age penalty -4; Price deviation penalty -45
L0189,L0189,manual,W for Woman,Ethnic Wear,Cotton,S,Used,3,7,3,0,active_current_cycle,0,1199,75,Tier 1,87.5,18,8,45,71,29,Reject,2,Reject,2,Condition penalty -18; Age penalty -8; Price deviation penalty -45
L0190,L0190,manual,Global Desi,Saree,Silk,M,Like New,2,6,2,0,active_current_cycle,0,1499,140,Tier 2,40.0,8,4,30,42,58,Review,1,Review,1,Condition penalty -8; Age penalty -4; Price deviation penalty -30
L0191,L0191,manual,Nike,Activewear,Polyester,M,New,1,2,1,0,active_current_cycle,0,3999,450,Tier 3,28.5714,0,0,20,20,80,Review,1,Review,1,Price deviation penalty -20
L0192,L0192,manual,Tarun Tahiliani,Saree,Silk,S,Like New,2,6,2,0,active_current_cycle,0,69999,10000,Tier 5,8.6957,8,4,5,17,83,Approve,0,Approve,0,Condition penalty -8; Age penalty -4; Price deviation penalty -5
L0193,L0193,manual,Anita Dongre,Saree,Silk,M,New,1,3,1,0,active_current_cycle,0,59999,9000,Tier 5,0.0,0,0,0,0,100,Approve,0,Approve,0,Within expected quality and pricing tolerance
L0194,L0194,manual,Highlander,Shirt,Cotton,M,New,1,3,1,0,active_current_cycle,0,999,100,Tier 1,66.6667,0,0,45,45,55,Reject,2,Reject,2,Price deviation penalty -45
L0195,L0195,manual,Moda Rapido,Dress,Polyester,M,Used,3,7,3,0,active_current_cycle,0,1199,90,Tier 1,125.0,18,8,45,71,29,Reject,2,Reject,2,Condition penalty -18; Age penalty -8; Price deviation penalty -45
L0196,L0196,manual,Bewakoof,Top,Cotton,S,New,1,2,1,0,active_current_cycle,0,899,90,Tier 1,80.0,0,0,45,45,55,Reject,2,Reject,2,Price deviation penalty -45
L0197,L0197,manual,Rohit Bal,Ethnic Wear,Silk,L,Like New,2,5,2,0,active_current_cycle,0,49999,8000,Tier 5,23.0769,8,4,20,32,68,Review,1,Review,1,Condition penalty -8; Age penalty -4; Price deviation penalty -20
L0198,L0198,manual,HRX,Activewear,Polyester,XS,Like New,2,3,1,0,active_current_cycle,0,999,85,Tier 1,70.0,8,0,45,53,47,Reject,2,Reject,2,Condition penalty -8; Price deviation penalty -45
L0199,L0199,manual,Flying Machine,Jacket,Denim,S,Like New,2,4,2,0,active_current_cycle,0,1299,110,Tier 2,37.5,8,4,30,42,58,Review,1,Review,1,Condition penalty -8; Age penalty -4; Price deviation penalty -30
L0200,L0200,manual,Mufti,Shirt,Linen,L,Used,3,10,4,1,needs_reapproval_or_removal,0,3099,180,Tier 3,12.5,18,12,12,42,58,Review,1,Review,1,Condition penalty -18; Age penalty -12; Price deviation penalty -12
L0201,L0201,manual,Killer,Jeans,Denim,L,New,1,6,2,0,active_current_cycle,0,1199,100,Tier 1,66.6667,0,4,45,49,51,Reject,2,Reject,2,Age penalty -4; Price deviation penalty -45
L0202,L0202,manual,Zudio,Top,Cotton,M,Like New,2,5,2,0,active_current_cycle,0,1200,70,Tier 1,16.6667,8,4,12,24,76,Approve,0,Approve,0,Condition penalty -8; Age penalty -4; Price deviation penalty -12
L0203,L0203,manual,Easybuy,Shirt,Polyester,L,New,1,2,1,0,active_current_cycle,0,1500,110,Tier 2,0.0,0,0,0,0,100,Approve,0,Approve,0,Within expected quality and pricing tolerance
L0204,L0204,manual,Vishal Mega Mart,Jeans,Denim,S,Used,3,8,3,0,active_current_cycle,0,1400,50,Tier 2,0.0,18,8,0,26,74,Approve,0,Approve,0,Condition penalty -18; Age penalty -8
L0205,L0205,manual,Rangriti,Kurta,Cotton,M,Like New,2,6,2,0,active_current_cycle,0,1800,100,Tier 2,0.0,8,4,0,12,88,Approve,0,Approve,0,Condition penalty -8; Age penalty -4
L0206,L0206,manual,Style Bazaar,Top,Polyester,XS,New,1,1,1,0,active_current_cycle,0,1000,70,Tier 1,16.6667,0,0,12,12,88,Approve,0,Approve,0,Price deviation penalty -12
L0207,L0207,manual,Soch,Ethnic Wear,Silk,M,Like New,2,4,2,0,active_current_cycle,0,3200,250,Tier 3,0.0,8,4,0,12,88,Approve,0,Approve,0,Condition penalty -8; Age penalty -4
L0208,L0208,manual,Aurelia,Kurta,Cotton,L,New,1,3,1,0,active_current_cycle,0,2800,250,Tier 3,0.0,0,0,0,0,100,Approve,0,Approve,0,Within expected quality and pricing tolerance
L0209,L0209,manual,Libas,Dress,Linen,S,Used,3,10,4,1,needs_reapproval_or_removal,1,3000,150,Tier 3,0.0,18,12,0,30,70,Approve,0,Review,1,Condition penalty -18; Age penalty -12
L0210,L0210,manual,Max Fashion,Jeans,Denim,M,Like New,2,7,3,0,active_current_cycle,0,2200,100,Tier 2,0.0,8,8,0,16,84,Approve,0,Approve,0,Condition penalty -8; Age penalty -8
L0211,L0211,manual,Reliance Trends,Shirt,Cotton,XL,New,1,2,1,0,active_current_cycle,0,2600,250,Tier 3,0.0,0,0,0,0,100,Approve,0,Approve,0,Within expected quality and pricing tolerance
L0212,L0212,manual,Brand Factory,Jacket,Polyester,L,Used,3,12,4,1,needs_reapproval_or_removal,1,3500,150,Tier 3,0.0,18,12,0,30,70,Approve,0,Review,1,Condition penalty -18; Age penalty -12
L0213,L0213,manual,FBB,Top,Cotton,M,Like New,2,5,2,0,active_current_cycle,0,2000,150,Tier 2,36.3636,8,4,30,42,58,Review,1,Review,1,Condition penalty -8; Age penalty -4; Price deviation penalty -30
L0214,L0214,manual,Bewakoof,Activewear,Polyester,S,New,1,1,1,0,active_current_cycle,0,1800,150,Tier 2,25.0,0,0,20,20,80,Review,1,Review,1,Price deviation penalty -20
L0215,L0215,manual,Highlander,Jeans,Denim,L,Used,3,9,3,0,active_current_cycle,0,2400,100,Tier 2,11.1111,18,8,12,38,62,Review,1,Review,1,Condition penalty -18; Age penalty -8; Price deviation penalty -12
L0216,L0216,manual,Moda Rapido,Shirt,Cotton,M,Like New,2,6,2,0,active_current_cycle,0,2100,150,Tier 2,25.0,8,4,20,32,68,Review,1,Review,1,Condition penalty -8; Age penalty -4; Price deviation penalty -20
L0217,L0217,manual,Biba,Ethnic Wear,Silk,M,New,1,2,1,0,active_current_cycle,0,5000,600,Tier 3,20.0,0,0,12,12,88,Approve,0,Approve,0,Price deviation penalty -12
L0218,L0218,manual,W for Woman,Kurta,Cotton,L,Like New,2,4,2,0,active_current_cycle,0,4500,350,Tier 3,0.0,8,4,0,12,88,Approve,0,Approve,0,Condition penalty -8; Age penalty -4
L0219,L0219,manual,Global Desi,Dress,Linen,S,Used,3,11,4,1,needs_reapproval_or_removal,1,5200,250,Tier 4,0.0,18,12,0,30,70,Approve,0,Review,1,Condition penalty -18; Age penalty -12
L0220,L0220,manual,Anouk,Kurta,Cotton,M,Like New,2,7,3,0,active_current_cycle,0,4000,250,Tier 3,0.0,8,8,0,16,84,Approve,0,Approve,0,Condition penalty -8; Age penalty -8
L0221,L0221,manual,Indya,Ethnic Wear,Silk,M,New,1,3,1,0,active_current_cycle,0,5500,600,Tier 4,0.0,0,0,0,0,100,Approve,0,Approve,0,Within expected quality and pricing tolerance
L0222,L0222,manual,Pantaloons,Shirt,Cotton,L,Used,3,8,3,0,active_current_cycle,0,3800,200,Tier 3,5.2632,18,8,5,31,69,Review,1,Review,1,Condition penalty -18; Age penalty -8; Price deviation penalty -5
L0223,L0223,manual,Roadster,Jeans,Denim,M,Like New,2,6,2,0,active_current_cycle,0,4200,250,Tier 3,0.0,8,4,0,12,88,Approve,0,Approve,0,Condition penalty -8; Age penalty -4
L0224,L0224,manual,HRX,Activewear,Polyester,S,New,1,2,1,0,active_current_cycle,0,4800,450,Tier 3,12.5,0,0,12,12,88,Approve,0,Approve,0,Price deviation penalty -12
L0225,L0225,manual,Flying Machine,Jeans,Denim,L,Like New,2,5,2,0,active_current_cycle,0,4600,300,Tier 3,0.0,8,4,0,12,88,Approve,0,Approve,0,Condition penalty -8; Age penalty -4
L0226,L0226,manual,Mufti,Shirt,Cotton,M,Used,3,10,4,1,needs_reapproval_or_removal,1,5000,250,Tier 3,0.0,18,12,0,30,70,Approve,0,Review,1,Condition penalty -18; Age penalty -12
L0227,L0227,manual,Manyavar,Ethnic Wear,Silk,L,New,1,2,1,0,active_current_cycle,0,8500,1200,Tier 4,9.0909,0,0,5,5,95,Approve,0,Approve,0,Price deviation penalty -5
L0228,L0228,manual,Fabindia,Kurta,Linen,M,Like New,2,5,2,0,active_current_cycle,0,7500,700,Tier 4,0.0,8,4,0,12,88,Approve,0,Approve,0,Condition penalty -8; Age penalty -4
L0229,L0229,manual,Jaypore,Saree,Silk,S,Used,3,12,4,1,needs_reapproval_or_removal,0,9000,700,Tier 4,27.2727,18,12,20,50,50,Review,1,Review,1,Condition penalty -18; Age penalty -12; Price deviation penalty -20
L0230,L0230,manual,Suta,Saree,Cotton,M,Like New,2,6,2,0,active_current_cycle,0,8000,650,Tier 4,0.0,8,4,0,12,88,Approve,0,Approve,0,Condition penalty -8; Age penalty -4
L0231,L0231,manual,Nalli,Saree,Silk,L,New,1,1,1,0,active_current_cycle,0,9500,1300,Tier 4,8.3333,0,0,5,5,95,Approve,0,Approve,0,Price deviation penalty -5
L0232,L0232,manual,Neeru's,Lehenga,Silk,M,Like New,2,4,2,0,active_current_cycle,0,11000,1000,Tier 4,0.0,8,4,0,12,88,Approve,0,Approve,0,Condition penalty -8; Age penalty -4
L0233,L0233,manual,Meena Bazaar,Ethnic Wear,Silk,S,Used,3,10,4,1,needs_reapproval_or_removal,1,10000,700,Tier 4,0.0,18,12,0,30,70,Approve,0,Review,1,Condition penalty -18; Age penalty -12
L0234,L0234,manual,AND,Dress,Linen,M,New,1,3,1,0,active_current_cycle,0,7200,900,Tier 4,5.8824,0,0,5,5,95,Approve,0,Approve,0,Price deviation penalty -5
L0235,L0235,manual,Label Ritu Kumar,Ethnic Wear,Silk,L,Like New,2,7,3,0,active_current_cycle,0,12000,1000,Tier 4,0.0,8,8,0,16,84,Approve,0,Approve,0,Condition penalty -8; Age penalty -8
L0236,L0236,manual,Masaba,Dress,Cotton,S,Used,3,9,3,0,active_current_cycle,0,9500,600,Tier 4,0.0,18,8,0,26,74,Approve,0,Approve,0,Condition penalty -18; Age penalty -8
L0237,L0237,manual,House of Masaba,Dress,Linen,M,Like New,2,5,2,0,active_current_cycle,0,10000,900,Tier 4,0.0,8,4,0,12,88,Approve,0,Approve,0,Condition penalty -8; Age penalty -4
L0238,L0238,manual,Nicobar,Kurta,Linen,L,New,1,2,1,0,active_current_cycle,0,8000,1000,Tier 4,11.1111,0,0,12,12,88,Approve,0,Approve,0,Price deviation penalty -12
L0239,L0239,manual,Zara,Jacket,Polyester,M,Like New,2,6,2,0,active_current_cycle,0,9000,800,Tier 4,0.0,8,4,0,12,88,Approve,0,Approve,0,Condition penalty -8; Age penalty -4
L0240,L0240,manual,Marks & Spencer,Dress,Cotton,S,Used,3,8,3,0,active_current_cycle,0,8500,600,Tier 4,9.0909,18,8,5,31,69,Review,1,Review,1,Condition penalty -18; Age penalty -8; Price deviation penalty -5
L0241,L0241,manual,GAP,Jeans,Denim,L,Like New,2,7,3,0,active_current_cycle,0,7800,650,Tier 4,8.3333,8,8,5,21,79,Approve,0,Approve,0,Condition penalty -8; Age penalty -8; Price deviation penalty -5
L0242,L0242,manual,American Eagle,Jeans,Denim,M,New,1,2,1,0,active_current_cycle,0,8200,900,Tier 4,5.8824,0,0,5,5,95,Approve,0,Approve,0,Price deviation penalty -5
L0243,L0243,manual,Mango,Dress,Linen,S,Like New,2,5,2,0,active_current_cycle,0,9500,900,Tier 4,0.0,8,4,0,12,88,Approve,0,Approve,0,Condition penalty -8; Age penalty -4
L0244,L0244,manual,Nike,Activewear,Polyester,M,Used,3,9,3,0,active_current_cycle,0,10000,600,Tier 4,0.0,18,8,0,26,74,Approve,0,Approve,0,Condition penalty -18; Age penalty -8
L0245,L0245,manual,Adidas,Jacket,Polyester,L,Like New,2,4,2,0,active_current_cycle,0,11000,1100,Tier 4,10.0,8,4,5,17,83,Approve,0,Approve,0,Condition penalty -8; Age penalty -4; Price deviation penalty -5
L0246,L0246,manual,New Balance,Activewear,Polyester,S,New,1,3,1,0,active_current_cycle,0,9500,1100,Tier 4,10.0,0,0,5,5,95,Approve,0,Approve,0,Price deviation penalty -5
L0247,L0247,manual,Asics,Activewear,Polyester,M,Like New,2,6,2,0,active_current_cycle,0,9000,800,Tier 4,6.6667,8,4,5,17,83,Approve,0,Approve,0,Condition penalty -8; Age penalty -4; Price deviation penalty -5
L0248,L0248,manual,Under Armour,Activewear,Polyester,L,Used,3,11,4,1,needs_reapproval_or_removal,0,10500,600,Tier 4,9.0909,18,12,5,35,65,Review,1,Review,1,Condition penalty -18; Age penalty -12; Price deviation penalty -5
L0249,L0249,manual,Tommy Hilfiger,Shirt,Cotton,M,Like New,2,5,2,0,active_current_cycle,0,9800,850,Tier 4,0.0,8,4,0,12,88,Approve,0,Approve,0,Condition penalty -8; Age penalty -4
L0250,L0250,manual,Calvin Klein,Jacket,Leather,L,New,1,2,1,0,active_current_cycle,0,12000,1500,Tier 4,0.0,0,0,0,0,100,Approve,0,Approve,0,Within expected quality and pricing tolerance
L0251,L0251,manual,Diesel,Jeans,Denim,M,Like New,2,7,3,0,active_current_cycle,0,11000,950,Tier 4,11.7647,8,8,12,28,72,Approve,0,Approve,0,Condition penalty -8; Age penalty -8; Price deviation penalty -12
L0252,L0252,manual,Superdry,Jacket,Polyester,M,Like New,2,6,2,0,active_current_cycle,0,10500,950,Tier 4,0.0,8,4,0,12,88,Approve,0,Approve,0,Condition penalty -8; Age penalty -4
L0253,L0253,manual,Raw Mango,Saree,Silk,L,New,1,2,1,0,active_current_cycle,0,18000,2700,Tier 5,0.0,0,0,0,0,100,Approve,0,Approve,0,Within expected quality and pricing tolerance
L0254,L0254,manual,Anita Dongre,Lehenga,Silk,M,Like New,2,5,2,0,active_current_cycle,0,22000,2500,Tier 5,0.0,8,4,0,12,88,Approve,0,Approve,0,Condition penalty -8; Age penalty -4
