listing_id,source_listing_id,data_source,brand,category,material,size,condition,age_months,original_price,tier_primary,base_min_pct,base_max_pct,cond_mult,age_mult,cat_mult,mat_mult,target_rule_min,target_rule_max,split_set
L0199,L0199,manual,Flying Machine,Jacket,Denim,S,Like New,4,1299,Tier 2,0.06,0.07,0.9,0.9,1.05,1,70,80,test
L0200,L0200,manual,Mufti,Shirt,Linen,L,Used,10,3099,Tier 3,0.07,0.09,0.7,0.8,1,1.03,130,160,train
L0201,L0201,manual,Killer,Jeans,Denim,L,New,6,1199,Tier 1,0.05,0.06,1,0.9,0.95,1,50,60,train
L0202,L0202,manual,Zudio,Top,Cotton,M,Like New,5,1200,Tier 1,0.05,0.06,0.9,0.9,1,1,50,60,train
L0203,L0203,manual,Easybuy,Shirt,Polyester,L,New,2,1500,Tier 2,0.06,0.07,1,1,1,1,90,110,train
L0204,L0204,manual,Vishal Mega Mart,Jeans,Denim,S,Used,8,1400,Tier 2,0.06,0.07,0.7,0.8,0.95,1,40,50,train
L0205,L0205,manual,Rangriti,Kurta,Cotton,M,Like New,6,1800,Tier 2,0.06,0.07,0.9,0.9,1,1,90,100,train
L0206,L0206,manual,Style Bazaar,Top,Polyester,XS,New,1,1000,Tier 1,0.05,0.06,1,1,1,1,50,60,train
L0207,L0207,manual,Soch,Ethnic Wear,Silk,M,Like New,4,3200,Tier 3,0.07,0.09,0.9,0.9,1.1,1.05,200,250,val
L0208,L0208,manual,Aurelia,Kurta,Cotton,L,New,3,2800,Tier 3,0.07,0.09,1,1,1,1,200,250,val
L0209,L0209,manual,Libas,Dress,Linen,S,Used,10,3000,Tier 3,0.07,0.09,0.7,0.8,1.05,1.03,130,160,test
L0210,L0210,manual,Max Fashion,Jeans,Denim,M,Like New,7,2200,Tier 2,0.06,0.07,0.9,0.8,0.95,1,90,110,train
L0211,L0211,manual,Reliance Trends,Shirt,Cotton,XL,New,2,2600,Tier 3,0.07,0.09,1,1,1,1,180,250,train
L0212,L0212,manual,Brand Factory,Jacket,Polyester,L,Used,12,3500,Tier 3,0.07,0.09,0.7,0.7,1.05,1,130,160,train
L0213,L0213,manual,FBB,Top,Cotton,M,Like New,5,2000,Tier 2,0.06,0.07,0.9,0.9,1,1,100,110,train
L0214,L0214,manual,Bewakoof,Activewear,Polyester,S,New,1,1800,Tier 2,0.06,0.07,1,1,0.95,1,100,120,train
L0215,L0215,manual,Highlander,Jeans,Denim,L,Used,9,2400,Tier 2,0.06,0.07,0.7,0.8,0.95,1,80,90,train
L0216,L0216,manual,Moda Rapido,Shirt,Cotton,M,Like New,6,2100,Tier 2,0.06,0.07,0.9,0.9,1,1,100,120,train
L0217,L0217,manual,Biba,Ethnic Wear,Silk,M,New,2,5000,Tier 3,0.07,0.09,1,1,1.1,1.05,400,500,val
L0218,L0218,manual,W for Woman,Kurta,Cotton,L,Like New,4,4500,Tier 3,0.07,0.09,0.9,0.9,1,1,250,350,val
L0219,L0219,manual,Global Desi,Dress,Linen,S,Used,11,5200,Tier 4,0.09,0.11,0.7,0.7,1.05,1.03,250,300,test
L0220,L0220,manual,Anouk,Kurta,Cotton,M,Like New,7,4000,Tier 3,0.07,0.09,0.9,0.8,1,1,200,250,train
L0221,L0221,manual,Indya,Ethnic Wear,Silk,M,New,3,5500,Tier 4,0.09,0.11,1,1,1.1,1.05,550,700,train
L0222,L0222,manual,Pantaloons,Shirt,Cotton,L,Used,8,3800,Tier 3,0.07,0.09,0.7,0.8,1,1,150,190,train
L0223,L0223,manual,Roadster,Jeans,Denim,M,Like New,6,4200,Tier 3,0.07,0.09,0.9,0.9,0.95,1,250,300,train
L0224,L0224,manual,HRX,Activewear,Polyester,S,New,2,4800,Tier 3,0.07,0.09,1,1,0.95,1,300,400,train
L0225,L0225,manual,Flying Machine,Jeans,Denim,L,Like New,5,4600,Tier 3,0.07,0.09,0.9,0.9,0.95,1,250,300,train
L0226,L0226,manual,Mufti,Shirt,Cotton,M,Used,10,5000,Tier 3,0.07,0.09,0.7,0.8,1,1,200,250,train
L0227,L0227,manual,Manyavar,Ethnic Wear,Silk,L,New,2,8500,Tier 4,0.09,0.11,1,1,1.1,1.05,900,1100,val
L0228,L0228,manual,Fabindia,Kurta,Linen,M,Like New,5,7500,Tier 4,0.09,0.11,0.9,0.9,1,1.03,550,700,val
L0229,L0229,manual,Jaypore,Saree,Silk,S,Used,12,9000,Tier 4,0.09,0.11,0.7,0.7,1.1,1.05,450,550,test
L0230,L0230,manual,Suta,Saree,Cotton,M,Like New,6,8000,Tier 4,0.09,0.11,0.9,0.9,1.1,1,650,800,train
L0231,L0231,manual,Nalli,Saree,Silk,L,New,1,9500,Tier 4,0.09,0.11,1,1,1.1,1.05,1000,1200,train
L0232,L0232,manual,Neeru's,Lehenga,Silk,M,Like New,4,11000,Tier 4,0.09,0.11,0.9,0.9,1.1,1.05,950,1100,train
L0233,L0233,manual,Meena Bazaar,Ethnic Wear,Silk,S,Used,10,10000,Tier 4,0.09,0.11,0.7,0.8,1.1,1.05,600,700,train
L0234,L0234,manual,AND,Dress,Linen,M,New,3,7200,Tier 4,0.09,0.11,1,1,1.05,1.03,700,850,train
L0235,L0235,manual,Label Ritu Kumar,Ethnic Wear,Silk,L,Like New,7,12000,Tier 4,0.09,0.11,0.9,0.8,1.1,1.05,900,1100,train
L0236,L0236,manual,Masaba,Dress,Cotton,S,Used,9,9500,Tier 4,0.09,0.11,0.7,0.8,1.05,1,500,600,train
L0237,L0237,manual,House of Masaba,Dress,Linen,M,Like New,5,10000,Tier 4,0.09,0.11,0.9,0.9,1.05,1.03,800,950,val
L0238,L0238,manual,Nicobar,Kurta,Linen,L,New,2,8000,Tier 4,0.09,0.11,1,1,1,1.03,750,900,val
L0239,L0239,manual,Zara,Jacket,Polyester,M,Like New,6,9000,Tier 4,0.09,0.11,0.9,0.9,1.05,1,700,850,test
L0240,L0240,manual,Marks & Spencer,Dress,Cotton,S,Used,8,8500,Tier 4,0.09,0.11,0.7,0.8,1.05,1,450,550,train
L0241,L0241,manual,GAP,Jeans,Denim,L,Like New,7,7800,Tier 4,0.09,0.11,0.9,0.8,0.95,1,500,600,train
L0242,L0242,manual,American Eagle,Jeans,Denim,M,New,2,8200,Tier 4,0.09,0.11,1,1,0.95,1,700,850,train
L0243,L0243,manual,Mango,Dress,Linen,S,Like New,5,9500,Tier 4,0.09,0.11,0.9,0.9,1.05,1.03,750,900,train
L0244,L0244,manual,Nike,Activewear,Polyester,M,Used,9,10000,Tier 4,0.09,0.11,0.7,0.8,0.95,1,500,600,train
L0245,L0245,manual,Adidas,Jacket,Polyester,L,Like New,4,11000,Tier 4,0.09,0.11,0.9,0.9,1.05,1,850,1000,train
L0246,L0246,manual,New Balance,Activewear,Polyester,S,New,3,9500,Tier 4,0.09,0.11,1,1,0.95,1,800,1000,train
L0247,L0247,manual,Asics,Activewear,Polyester,M,Like New,6,9000,Tier 4,0.09,0.11,0.9,0.9,0.95,1,600,750,val
L0248,L0248,manual,Under Armour,Activewear,Polyester,L,Used,11,10500,Tier 4,0.09,0.11,0.7,0.7,0.95,1,450,550,val
L0249,L0249,manual,Tommy Hilfiger,Shirt,Cotton,M,Like New,5,9800,Tier 4,0.09,0.11,0.9,0.9,1,1,700,850,test
L0250,L0250,manual,Calvin Klein,Jacket,Leather,L,New,2,12000,Tier 4,0.09,0.11,1,1,1.05,1.05,1200,1500,train
L0251,L0251,manual,Diesel,Jeans,Denim,M,Like New,7,11000,Tier 4,0.09,0.11,0.9,0.8,0.95,1,700,850,train
L0252,L0252,manual,Superdry,Jacket,Polyester,M,Like New,6,10500,Tier 4,0.09,0.11,0.9,0.9,1.05,1,800,1000,train
L0253,L0253,manual,Raw Mango,Saree,Silk,L,New,2,18000,Tier 5,0.11,0.14,1,1,1.1,1.05,2300,2900,train
L0254,L0254,manual,Anita Dongre,Lehenga,Silk,M,Like New,5,22000,Tier 5,0.11,0.14,0.9,0.9,1.1,1.05,2300,2900,train
L0255,L0255,manual,Sabyasachi,Saree,Silk,S,Used,10,25000,Tier 5,0.11,0.14,0.7,0.8,1.1,1.05,1800,2300,train
L0256,L0256,manual,Tarun Tahiliani,Lehenga,Silk,M,New,3,28000,Tier 5,0.11,0.14,1,1,1.1,1.05,3600,4500,train
L0257,L0257,manual,Rohit Bal,Ethnic Wear,Silk,L,Like New,7,24000,Tier 5,0.11,0.14,0.9,0.8,1.1,1.05,2200,2800,val
L0258,L0258,manual,Anamika Khanna,Lehenga,Silk,M,Used,12,26000,Tier 5,0.11,0.14,0.7,0.7,1.1,1.05,1600,2100,val
L0259,L0259,manual,Gucci,Jacket,Leather,L,New,2,30000,Tier 5,0.11,0.14,1,1,1.05,1.05,3600,4600,test
L0260,L0260,manual,Louis Vuitton,Jacket,Leather,M,Like New,4,32000,Tier 5,0.11,0.14,0.9,0.9,1.05,1.05,3100,4000,train
L0261,L0261,manual,Prada,Dress,Silk,S,Used,9,27000,Tier 5,0.11,0.14,0.7,0.8,1.05,1.05,1800,2300,train
L0262,L0262,manual,Armani,Shirt,Linen,M,Like New,6,21000,Tier 5,0.11,0.14,0.9,0.9,1,1.03,1900,2500,train
L0263,L0263,manual,Versace,Dress,Silk,L,New,1,29000,Tier 5,0.11,0.14,1,1,1.05,1.05,3500,4500,train
L0264,L0264,manual,Burberry,Jacket,Cotton,M,Used,11,26000,Tier 5,0.11,0.14,0.7,0.7,1.05,1,1500,1900,train
L0265,L0265,manual,Balenciaga,Jacket,Leather,L,Like New,5,31000,Tier 5,0.11,0.14,0.9,0.9,1.05,1.05,3000,3900,train
L0266,L0266,manual,Dolce & Gabbana,Dress,Silk,S,New,3,28000,Tier 5,0.11,0.14,1,1,1.05,1.05,3400,4300,train
L0267,L0267,manual,Zudio,Top,Cotton,S,New,2,900,Tier 1,0.05,0.06,1,1,1,1,50,50,val
L0268,L0268,manual,Soch,Kurta,Cotton,M,Like New,6,3000,Tier 3,0.07,0.09,0.9,0.9,1,1,170,200,val
L0269,L0269,manual,Biba,Kurta,Cotton,L,Used,9,4200,Tier 3,0.07,0.09,0.7,0.8,1,1,160,200,test
L0270,L0270,manual,Manyavar,Ethnic Wear,Silk,M,Like New,5,9000,Tier 4,0.09,0.11,0.9,0.9,1.1,1.05,750,950,train
L0271,L0271,manual,Nike,Activewear,Polyester,S,Like New,6,9500,Tier 4,0.09,0.11,0.9,0.9,0.95,1,650,800,train
L0272,L0272,manual,Levi's,Jeans,Denim,M,New,2,8000,Tier 4,0.09,0.11,1,1,0.95,1,700,850,train
L0273,L0273,manual,Fabindia,Kurta,Linen,L,Used,10,7000,Tier 4,0.09,0.11,0.7,0.8,1,1.03,350,450,train
L0274,L0274,manual,Pantaloons,Shirt,Cotton,M,Like New,5,4500,Tier 3,0.07,0.09,0.9,0.9,1,1,250,350,train
L0275,L0275,manual,Reliance Trends,Top,Cotton,S,Used,8,2000,Tier 2,0.06,0.07,0.7,0.8,1,1,70,80,train
L0276,L0276,manual,Easybuy,Shirt,Cotton,M,New,1,1400,Tier 2,0.06,0.07,1,1,1,1,80,100,train
L0277,L0277,manual,Vishal Mega Mart,Top,Polyester,S,Like New,6,1200,Tier 1,0.05,0.06,0.9,0.9,1,1,50,60,val
L0278,L0278,manual,Rangriti,Kurta,Cotton,L,Used,9,1700,Tier 2,0.06,0.07,0.7,0.8,1,1,60,70,val
L0279,L0279,manual,Style Bazaar,Top,Cotton,M,Like New,5,1100,Tier 1,0.05,0.06,0.9,0.9,1,1,40,50,test
L0280,L0280,manual,Zudio,Jeans,Denim,S,Used,8,1300,Tier 2,0.06,0.07,0.7,0.8,0.95,1,40,50,train
L0281,L0281,manual,Aurelia,Dress,Linen,M,New,2,3200,Tier 3,0.07,0.09,1,1,1.05,1.03,250,300,train
L0282,L0282,manual,Libas,Kurta,Cotton,L,Like New,6,2800,Tier 3,0.07,0.09,0.9,0.9,1,1,160,200,train
L0283,L0283,manual,Max Fashion,Jeans,Denim,S,Used,11,2500,Tier 2,0.06,0.07,0.7,0.7,0.95,1,70,80,train
L0284,L0284,manual,Reliance Trends,Shirt,Cotton,M,Like New,4,2600,Tier 3,0.07,0.09,0.9,0.9,1,1,150,190,train
L0285,L0285,manual,Brand Factory,Jacket,Polyester,L,New,3,3400,Tier 3,0.07,0.09,1,1,1.05,1,250,300,train
L0286,L0286,manual,Pantaloons,Top,Cotton,S,Like New,5,3800,Tier 3,0.07,0.09,0.9,0.9,1,1,200,300,train
L0287,L0287,manual,Roadster,Jeans,Denim,M,Used,9,4200,Tier 3,0.07,0.09,0.7,0.8,0.95,1,160,200,val
L0288,L0288,manual,HRX,Activewear,Polyester,L,Like New,6,5000,Tier 3,0.07,0.09,0.9,0.9,0.95,1,250,350,val
L0289,L0289,manual,Flying Machine,Jeans,Denim,M,New,2,4800,Tier 3,0.07,0.09,1,1,0.95,1,300,400,test
L0290,L0290,manual,Mufti,Shirt,Cotton,S,Used,10,5200,Tier 4,0.09,0.11,0.7,0.8,1,1,250,300,train
L0291,L0291,manual,Fabindia,Kurta,Linen,M,Like New,5,7800,Tier 4,0.09,0.11,0.9,0.9,1,1.03,600,700,train
L0292,L0292,manual,Zara,Dress,Linen,S,New,2,9000,Tier 4,0.09,0.11,1,1,1.05,1.03,900,1100,train
L0293,L0293,manual,GAP,Jeans,Denim,L,Used,8,8200,Tier 4,0.09,0.11,0.7,0.8,0.95,1,400,500,train
L0294,L0294,manual,Nike,Activewear,Polyester,M,New,3,10000,Tier 4,0.09,0.11,1,1,0.95,1,850,1000,train
L0295,L0295,manual,Tommy Hilfiger,Shirt,Cotton,L,Like New,6,9500,Tier 4,0.09,0.11,0.9,0.9,1,1,700,850,train
L0296,L0296,manual,Raw Mango,Saree,Silk,M,Like New,5,20000,Tier 5,0.11,0.14,0.9,0.9,1.1,1.05,2100,2600,train
L0297,L0297,manual,Anita Dongre,Lehenga,Silk,S,New,2,23000,Tier 5,0.11,0.14,1,1,1.1,1.05,2900,3700,val
L0298,L0298,manual,Sabyasachi,Saree,Silk,L,Used,11,27000,Tier 5,0.11,0.14,0.7,0.7,1.1,1.05,1700,2100,val
L0299,L0299,manual,Gucci,Jacket,Leather,M,Like New,6,32000,Tier 5,0.11,0.14,0.9,0.9,1.05,1.05,3100,4000,test
L0300,L0300,manual,Prada,Dress,Silk,S,New,1,29000,Tier 5,0.11,0.14,1,1,1.05,1.05,3500,4500,train
L0301,L0301,manual,Easybuy,Top,Cotton,S,Like New,4,1300,Tier 2,0.06,0.07,0.9,0.9,1,1,60,70,train
L0302,L0302,manual,Vishal Mega Mart,Shirt,Polyester,M,Used,10,1500,Tier 2,0.06,0.07,0.7,0.8,1,1,50,60,train
L0303,L0303,manual,Rangriti,Kurta,Cotton,M,New,2,1600,Tier 2,0.06,0.07,1,1,1,1,100,110,train
L0304,L0304,manual,Style Bazaar,Top,Cotton,L,Like New,6,1200,Tier 1,0.05,0.06,0.9,0.9,1,1,50,60,train
L0305,L0305,manual,Zudio,Shirt,Polyester,M,Used,9,1400,Tier 2,0.06,0.07,0.7,0.8,1,1,50,50,train
L0306,L0306,manual,Soch,Saree,Silk,L,Like New,5,3500,Tier 3,0.07,0.09,0.9,0.9,1.1,1.05,250,300,train
L0307,L0307,manual,Aurelia,Kurta,Cotton,S,Used,11,3000,Tier 3,0.07,0.09,0.7,0.7,1,1,100,130,val
L0308,L0308,manual,Libas,Dress,Linen,M,New,3,3200,Tier 3,0.07,0.09,1,1,1.05,1.03,250,300,val
L0309,L0309,manual,Max Fashion,Jeans,Denim,L,Like New,7,2600,Tier 3,0.07,0.09,0.9,0.8,0.95,1,120,160,test
L0310,L0310,manual,Reliance Trends,Top,Cotton,M,Used,8,2400,Tier 2,0.06,0.07,0.7,0.8,1,1,80,90,train
L0311,L0311,manual,Pantaloons,Shirt,Cotton,M,New,2,4000,Tier 3,0.07,0.09,1,1,1,1,300,350,train
L0312,L0312,manual,Roadster,Jeans,Denim,S,Like New,6,4500,Tier 3,0.07,0.09,0.9,0.9,0.95,1,250,300,train
L0313,L0313,manual,HRX,Activewear,Polyester,M,Used,10,5200,Tier 4,0.09,0.11,0.7,0.8,0.95,1,250,300,train
L0314,L0314,manual,Flying Machine,Jeans,Denim,L,Like New,5,4800,Tier 3,0.07,0.09,0.9,0.9,0.95,1,250,350,train
L0315,L0315,manual,Mufti,Shirt,Cotton,M,New,1,5000,Tier 3,0.07,0.09,1,1,1,1,350,450,train
L0316,L0316,manual,Fabindia,Kurta,Linen,S,Used,9,8200,Tier 4,0.09,0.11,0.7,0.8,1,1.03,450,500,train
L0317,L0317,manual,Mango,Dress,Linen,M,Like New,6,9500,Tier 4,0.09,0.11,0.9,0.9,1.05,1.03,750,900,val
L0318,L0318,manual,Adidas,Jacket,Polyester,L,New,2,11000,Tier 4,0.09,0.11,1,1,1.05,1,1000,1300,val
L0319,L0319,manual,Calvin Klein,Jacket,Leather,M,Like New,5,12000,Tier 4,0.09,0.11,0.9,0.9,1.05,1.05,950,1200,test
L0320,L0320,manual,Diesel,Jeans,Denim,S,Used,11,11500,Tier 4,0.09,0.11,0.7,0.7,0.95,1,500,600,train
L0321,L0321,manual,Raw Mango,Saree,Silk,L,New,3,21000,Tier 5,0.11,0.14,1,1,1.1,1.05,2700,3400,train
L0322,L0322,manual,Tarun Tahiliani,Lehenga,Silk,M,Like New,6,28000,Tier 5,0.11,0.14,0.9,0.9,1.1,1.05,2900,3700,train
L0323,L0323,manual,Rohit Bal,Ethnic Wear,Silk,S,Used,12,25000,Tier 5,0.11,0.14,0.7,0.7,1.1,1.05,1600,2000,train
L0324,L0324,manual,Louis Vuitton,Jacket,Leather,L,Like New,5,33000,Tier 5,0.11,0.14,0.9,0.9,1.05,1.05,3200,4100,train
L0325,L0325,manual,Versace,Dress,Silk,M,New,2,30000,Tier 5,0.11,0.14,1,1,1.05,1.05,3600,4600,train
L0326,L0326,manual,Zudio,Top,Cotton,L,Like New,5,1100,Tier 1,0.05,0.06,0.9,0.9,1,1,40,50,train
L0327,L0327,manual,Easybuy,Jeans,Denim,M,Used,8,1500,Tier 2,0.06,0.07,0.7,0.8,0.95,1,50,60,val
L0328,L0328,manual,Vishal Mega Mart,Shirt,Polyester,S,New,2,1300,Tier 2,0.06,0.07,1,1,1,1,80,90,val
L0329,L0329,manual,Rangriti,Kurta,Cotton,M,Like New,6,1700,Tier 2,0.06,0.07,0.9,0.9,1,1,80,100,test
L0330,L0330,manual,Style Bazaar,Top,Cotton,M,Used,9,1200,Tier 1,0.05,0.06,0.7,0.8,1,1,30,40,train
L0331,L0331,manual,Soch,Ethnic Wear,Silk,M,New,3,3800,Tier 3,0.07,0.09,1,1,1.1,1.05,300,400,train
L0332,L0332,manual,Aurelia,Dress,Linen,L,Like New,5,3400,Tier 3,0.07,0.09,0.9,0.9,1.05,1.03,200,250,train
L0333,L0333,manual,Libas,Kurta,Cotton,S,Used,10,3000,Tier 3,0.07,0.09,0.7,0.8,1,1,120,150,train
L0334,L0334,manual,Max Fashion,Jeans,Denim,M,New,2,2600,Tier 3,0.07,0.09,1,1,0.95,1,170,200,train
L0335,L0335,manual,Reliance Trends,Shirt,Cotton,L,Like New,6,2800,Tier 3,0.07,0.09,0.9,0.9,1,1,160,200,train
L0336,L0336,manual,Pantaloons,Top,Cotton,M,Used,8,4200,Tier 3,0.07,0.09,0.7,0.8,1,1,160,200,train
L0337,L0337,manual,Roadster,Jeans,Denim,L,New,3,4800,Tier 3,0.07,0.09,1,1,0.95,1,300,400,val
L0338,L0338,manual,HRX,Activewear,Polyester,S,Like New,6,5200,Tier 4,0.09,0.11,0.9,0.9,0.95,1,350,450,val
L0339,L0339,manual,Flying Machine,Jeans,Denim,M,Used,11,5000,Tier 3,0.07,0.09,0.7,0.7,0.95,1,160,200,test
L0340,L0340,manual,Mufti,Shirt,Cotton,L,Like New,5,5300,Tier 4,0.09,0.11,0.9,0.9,1,1,400,450,train
L0341,L0341,manual,Fabindia,Kurta,Linen,M,New,2,8500,Tier 4,0.09,0.11,1,1,1,1.03,800,950,train
L0342,L0342,manual,Zara,Dress,Linen,S,Like New,6,9200,Tier 4,0.09,0.11,0.9,0.9,1.05,1.03,750,900,train
L0343,L0343,manual,Nike,Activewear,Polyester,M,Used,10,10000,Tier 4,0.09,0.11,0.7,0.8,0.95,1,500,600,train
L0344,L0344,manual,Tommy Hilfiger,Shirt,Cotton,L,Like New,4,9800,Tier 4,0.09,0.11,0.9,0.9,1,1,700,850,train
L0345,L0345,manual,Diesel,Jeans,Denim,M,New,2,11500,Tier 4,0.09,0.11,1,1,0.95,1,1000,1200,train
L0346,L0346,manual,Raw Mango,Saree,Silk,S,Like New,6,22000,Tier 5,0.11,0.14,0.9,0.9,1.1,1.05,2300,2900,train
L0347,L0347,manual,Anita Dongre,Lehenga,Silk,M,Used,12,24000,Tier 5,0.11,0.14,0.7,0.7,1.1,1.05,1500,1900,val
L0348,L0348,manual,Sabyasachi,Saree,Silk,L,New,2,28000,Tier 5,0.11,0.14,1,1,1.1,1.05,3600,4500,val
L0349,L0349,manual,Gucci,Jacket,Leather,M,Like New,5,32000,Tier 5,0.11,0.14,0.9,0.9,1.05,1.05,3100,4000,test
L0350,L0350,manual,Prada,Dress,Silk,S,Used,9,30000,Tier 5,0.11,0.14,0.7,0.8,1.05,1.05,2000,2600,train
L0351,L0351,manual,Easybuy,Shirt,Cotton,M,Like New,6,1400,Tier 2,0.06,0.07,0.9,0.9,1,1,70,80,train
L0352,L0352,manual,Vishal Mega Mart,Top,Polyester,S,Used,10,1500,Tier 2,0.06,0.07,0.7,0.8,1,1,50,60,train
L0353,L0353,manual,Rangriti,Kurta,Cotton,L,New,2,1800,Tier 2,0.06,0.07,1,1,1,1,110,130,train
L0354,L0354,manual,Style Bazaar,Top,Cotton,M,Like New,5,1200,Tier 1,0.05,0.06,0.9,0.9,1,1,50,60,train
L0355,L0355,manual,Zudio,Jeans,Denim,S,Used,9,1300,Tier 2,0.06,0.07,0.7,0.8,0.95,1,40,50,train
L0356,L0356,manual,Soch,Saree,Silk,M,Like New,4,4000,Tier 3,0.07,0.09,0.9,0.9,1.1,1.05,250,350,train
L0357,L0357,manual,Aurelia,Kurta,Cotton,L,New,3,3200,Tier 3,0.07,0.09,1,1,1,1,200,300,val
L0358,L0358,manual,Libas,Dress,Linen,S,Used,11,3500,Tier 3,0.07,0.09,0.7,0.7,1.05,1.03,130,170,val
L0359,L0359,manual,Max Fashion,Jeans,Denim,M,Like New,6,2800,Tier 3,0.07,0.09,0.9,0.9,0.95,1,150,190,test
L0360,L0360,manual,Reliance Trends,Shirt,Cotton,XL,New,1,3000,Tier 3,0.07,0.09,1,1,1,1,200,250,train
L0361,L0361,manual,Pantaloons,Top,Cotton,S,Like New,5,4500,Tier 3,0.07,0.09,0.9,0.9,1,1,250,350,train
L0362,L0362,manual,Roadster,Jeans,Denim,M,Used,8,4800,Tier 3,0.07,0.09,0.7,0.8,0.95,1,180,250,train
L0363,L0363,manual,HRX,Activewear,Polyester,L,New,2,5500,Tier 4,0.09,0.11,1,1,0.95,1,450,550,train
L0364,L0364,manual,Flying Machine,Jeans,Denim,M,Like New,6,5200,Tier 4,0.09,0.11,0.9,0.9,0.95,1,350,450,train
L0365,L0365,manual,Mufti,Shirt,Cotton,S,Used,10,5600,Tier 4,0.09,0.11,0.7,0.8,1,1,300,350,train
L0366,L0366,manual,Fabindia,Kurta,Linen,M,Like New,5,9000,Tier 4,0.09,0.11,0.9,0.9,1,1.03,700,850,train
L0367,L0367,manual,Zara,Dress,Linen,S,New,2,10000,Tier 4,0.09,0.11,1,1,1.05,1.03,950,1200,val
L0368,L0368,manual,Adidas,Jacket,Polyester,L,Like New,6,11500,Tier 4,0.09,0.11,0.9,0.9,1.05,1,900,1100,val
L0369,L0369,manual,Tommy Hilfiger,Shirt,Cotton,M,Used,9,10500,Tier 4,0.09,0.11,0.7,0.8,1,1,550,650,test
L0370,L0370,manual,Calvin Klein,Jacket,Leather,L,New,3,13000,Tier 4,0.09,0.11,1,1,1.05,1.05,1300,1600,train
L0371,L0371,manual,Raw Mango,Saree,Silk,L,New,2,24000,Tier 5,0.11,0.14,1,1,1.1,1.05,3000,3900,train
L0372,L0372,manual,Anita Dongre,Lehenga,Silk,M,Like New,6,26000,Tier 5,0.11,0.14,0.9,0.9,1.1,1.05,2700,3400,train
L0373,L0373,manual,Tarun Tahiliani,Lehenga,Silk,S,Used,12,29000,Tier 5,0.11,0.14,0.7,0.7,1.1,1.05,1800,2300,train
L0374,L0374,manual,Louis Vuitton,Jacket,Leather,M,New,1,35000,Tier 5,0.11,0.14,1,1,1.05,1.05,4200,5400,train
L0375,L0375,manual,Burberry,Jacket,Cotton,L,Like New,5,27000,Tier 5,0.11,0.14,0.9,0.9,1.05,1,2500,3200,train
L0376,L0328,synthetic,Vishal Mega Mart,Shirt,Polyester,S,Like New,5,1207,Tier 2,0.06,0.07,0.9,0.9,1,1,60,70,val
L0377,L0017,synthetic,Sabyasachi,Saree,Silk,L,New,1,151169,Tier 5,0.11,0.14,1,1,1.1,1.05,19200,24400,val
L0378,L0004,synthetic,Gucci,Jacket,Leather,S,Like New,1,60255,Tier 5,0.11,0.14,0.9,1,1.05,1.05,6600,8400,train
L0379,L0053,synthetic,Zudio,Top,Cotton,S,New,1,485,Tier 1,0.05,0.06,1,1,1,1,20,30,train
L0380,L0374,synthetic,Louis Vuitton,Jacket,Leather,M,New,1,34377,Tier 5,0.11,0.14,1,1,1.05,1.05,4200,5300,train
L0381,L0361,synthetic,Pantaloons,Top,Cotton,S,Like New,8,4281,Tier 3,0.07,0.09,0.9,0.8,1,1,200,300,train
L0382,L0052,synthetic,Nalli,Saree,Silk,L,Used,4,6849,Tier 4,0.09,0.11,0.7,0.9,1.1,1.05,450,550,train
L0383,L0360,synthetic,Reliance Trends,Shirt,Cotton,L,Like New,3,3111,Tier 3,0.07,0.09,0.9,1,1,1,200,250,train
L0384,L0195,synthetic,Moda Rapido,Dress,Polyester,M,Like New,10,1091,Tier 1,0.05,0.06,0.9,0.8,1.05,1,40,50,train
L0385,L0118,synthetic,FBB,Kurta,Cotton,S,Used,10,905,Tier 1,0.05,0.06,0.7,0.8,1,1,30,30,val
L0386,L0162,synthetic,Biba,Kurta,Cotton,M,Like New,6,1754,Tier 2,0.06,0.07,0.9,0.9,1,1,90,100,train
L0387,L0220,synthetic,Anouk,Kurta,Cotton,XL,Like New,7,4797,Tier 3,0.07,0.09,0.9,0.8,1,1,250,300,train
L0388,L0057,synthetic,Moda Rapido,Dress,Denim,S,Like New,1,909,Tier 1,0.05,0.06,0.9,1,1.05,1,40,50,val
L0389,L0306,synthetic,Soch,Saree,Silk,XS,Like New,5,4029,Tier 3,0.07,0.09,0.9,0.9,1.1,1.05,250,350,train
L0390,L0059,synthetic,Levi's,Jeans,Denim,M,Used,4,4475,Tier 3,0.07,0.09,0.7,0.9,0.95,1,190,250,test
L0391,L0223,synthetic,Roadster,Jeans,Denim,M,Like New,4,4858,Tier 3,0.07,0.09,0.9,0.9,0.95,1,250,350,train
L0392,L0092,synthetic,Highlander,Top,Cotton,XL,Like New,1,569,Tier 1,0.05,0.06,0.9,1,1,1,30,30,train
L0393,L0272,synthetic,Levi's,Jeans,Denim,XS,New,2,7282,Tier 4,0.09,0.11,1,1,0.95,1,600,750,train
L0394,L0041,synthetic,Global Desi,Ethnic Wear,Silk,M,Used,6,4768,Tier 3,0.07,0.09,0.7,0.9,1.1,1.05,250,300,train
L0395,L0244,synthetic,Nike,Activewear,Polyester,M,Used,9,10438,Tier 4,0.09,0.11,0.7,0.8,0.95,1,500,600,train
